Iteration;Period;Output;Value;Type
"0";"1";OSUPREC;284.37065;Total
"0";"2";OSUPREC;260.44095;Total
"0";"3";OSUPREC;208.20483;Total
"0";"4";OSUPREC;191.30641;Total
"0";"5";OSUPREC;237.89842;Total
"0";"6";OSUPREC;244.12825;Total
"0";"7";OSUPREC;233.28055;Total
"0";"8";OSUPREC;285.47990;Total
"0";"9";OSUPREC;394.48942;Total
"0";"10";OSUPREC;397.60391;Total
"0";"11";OSUPREC;310.23356;Total
"0";"12";OSUPREC;294.81935;Total
"0";"13";OSUPREC;315.96200;Total
"0";"14";OSUPREC;403.92018;Total
"0";"15";OSUPREC;404.86325;Total
"0";"16";OSUPREC;218.67354;Total
"0";"17";OSUPREC;387.93702;Total
"0";"18";OSUPREC;397.24879;Total
"0";"19";OSUPREC;405.37746;Total
"0";"20";OSUPREC;405.52319;Total
"0";"1";OVOLREC;40558.91860;Total
"0";"2";OVOLREC;40558.91860;Total
"0";"3";OVOLREC;40558.91860;Total
"0";"4";OVOLREC;40558.91860;Total
"0";"5";OVOLREC;40558.91860;Total
"0";"6";OVOLREC;40558.91860;Total
"0";"7";OVOLREC;40558.91860;Total
"0";"8";OVOLREC;40558.91860;Total
"0";"9";OVOLREC;40558.91860;Total
"0";"10";OVOLREC;40558.91860;Total
"0";"11";OVOLREC;40558.91860;Total
"0";"12";OVOLREC;40558.91860;Total
"0";"13";OVOLREC;40558.91860;Total
"0";"14";OVOLREC;40558.91860;Total
"0";"15";OVOLREC;40558.91860;Total
"0";"16";OVOLREC;40558.91860;Total
"0";"17";OVOLREC;40558.91860;Total
"0";"18";OVOLREC;40558.91860;Total
"0";"19";OVOLREC;40558.91860;Total
"0";"20";OVOLREC;40558.91860;Total
"0";"1";OSUPPL;100.00000;Total
"0";"2";OSUPPL;100.00000;Total
"0";"3";OSUPPL;100.00000;Total
"0";"4";OSUPPL;100.00000;Total
"0";"5";OSUPPL;237.89842;Total
"0";"6";OSUPPL;144.12825;Total
"0";"7";OSUPPL;132.54510;Total
"0";"8";OSUPPL;96.08743;Total
"0";"9";OSUPPL;184.37065;Total
"0";"10";OSUPPL;159.70549;Total
"0";"11";OSUPPL;56.74466;Total
"0";"12";OSUPPL;0.00000;Total
"0";"13";OSUPPL;0.00000;Total
"0";"14";OSUPPL;0.00000;Total
"0";"15";OSUPPL;0.00000;Total
"0";"16";OSUPPL;0.00000;Total
"0";"17";OSUPPL;0.00000;Total
"0";"18";OSUPPL;0.00000;Total
"0";"19";OSUPPL;0.00000;Total
"0";"20";OSUPPL;0.00000;Total
"0";"1";VOLINVENT;268860.65466;Total
"0";"2";VOLINVENT;249363.95132;Total
"0";"3";VOLINVENT;231542.73632;Total
"0";"4";VOLINVENT;216034.58538;Total
"0";"5";VOLINVENT;202618.40521;Total
"0";"6";VOLINVENT;190298.16729;Total
"0";"7";VOLINVENT;179035.03334;Total
"0";"8";VOLINVENT;168260.92678;Total
"0";"9";VOLINVENT;159518.65034;Total
"0";"10";VOLINVENT;152373.42884;Total
"0";"11";VOLINVENT;146172.98368;Total
"0";"12";VOLINVENT;140587.92650;Total
"0";"13";VOLINVENT;135307.69034;Total
"0";"14";VOLINVENT;130121.76176;Total
"0";"15";VOLINVENT;125008.42659;Total
"0";"16";VOLINVENT;118979.49123;Total
"0";"17";VOLINVENT;113881.73254;Total
"0";"18";VOLINVENT;109596.84167;Total
"0";"19";VOLINVENT;105326.52366;Total
"0";"20";VOLINVENT;101062.80506;Total
"1";"2";OSUPREC;274.05187;Total
"1";"2";OVOLREC;40435.29237;Total
"1";"2";OSUPPL;100.00000;Total
"1";"2";VOLINVENT;249472.64750;Total
"6";"2";OSUPREC;274.05187;Total
"6";"2";OVOLREC;40435.29237;Total
"6";"2";OSUPPL;100.00000;Total
"6";"2";VOLINVENT;249472.64750;Total
"1";"3";OSUPREC;202.54888;Total
"1";"3";OVOLREC;40327.12551;Total
"1";"3";OSUPPL;100.00000;Total
"1";"3";VOLINVENT;233610.51295;Total
"6";"3";OSUPREC;202.54888;Total
"6";"3";OVOLREC;40327.12551;Total
"6";"3";OSUPPL;100.00000;Total
"6";"3";VOLINVENT;233610.51295;Total
"1";"4";OSUPREC;185.13579;Total
"1";"4";OVOLREC;40027.15716;Total
"1";"4";OSUPPL;100.00000;Total
"1";"4";VOLINVENT;218548.13687;Total
"6";"4";OSUPREC;185.13579;Total
"6";"4";OVOLREC;40027.15716;Total
"6";"4";OSUPPL;100.00000;Total
"6";"4";VOLINVENT;218548.13687;Total
"1";"5";OSUPREC;185.30031;Total
"1";"5";OVOLREC;39654.26540;Total
"1";"5";OSUPPL;185.30031;Total
"1";"5";VOLINVENT;205828.60933;Total
"6";"5";OSUPREC;185.30031;Total
"6";"5";OVOLREC;39654.26540;Total
"6";"5";OSUPPL;185.30031;Total
"6";"5";VOLINVENT;205828.60933;Total
"1";"6";OSUPREC;197.18911;Total
"1";"6";OVOLREC;39043.44470;Total
"1";"6";OSUPPL;197.18911;Total
"1";"6";VOLINVENT;190968.38549;Total
"6";"6";OSUPREC;197.18911;Total
"6";"6";OVOLREC;39043.44470;Total
"6";"6";OSUPPL;197.18911;Total
"6";"6";VOLINVENT;190968.38549;Total
"1";"7";OSUPREC;219.94089;Total
"1";"7";OVOLREC;38528.56941;Total
"1";"7";OSUPPL;201.64000;Total
"1";"7";VOLINVENT;178506.31379;Total
"6";"7";OSUPREC;219.94089;Total
"6";"7";OVOLREC;38528.56941;Total
"6";"7";OSUPPL;201.64000;Total
"6";"7";VOLINVENT;178506.31379;Total
"1";"8";OSUPREC;300.35570;Total
"1";"8";OVOLREC;38316.06621;Total
"1";"8";OSUPPL;114.56573;Total
"1";"8";VOLINVENT;169623.70512;Total
"6";"8";OSUPREC;300.35570;Total
